Origin_airport,Destination_airport,Origin_city,Origin_State,Destination_city,Destination_State,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
XNA,ORD,Fayetteville,AR,Chicago,IL,4785,10266,118,522,01/10/2002,369930,18490270,36.281898,-94.306801,41.97859955,-87.90480042
MIA,EWR,Miami,FL,Newark,NJ,39,54,1,1086,01/11/2008,11003504,18968501,25.79319954,-80.29060364,40.69250107,-74.16870117
MSP,FAR,Minneapolis,MN,Fargo,ND,1827,2028,26,223,01/06/1991,2581103,155182,44.88199997,-93.22180176,46.92070007,-96.81580353
PHL,ATL,Philadelphia,PA,Atlanta,GA,6728,11088,88,665,01/08/2001,11445082,4432950,39.87189865,-75.2410965,33.63669968,-84.42810059
FLL,TPA,Fort Lauderdale,FL,Tampa,FL,6710,10960,80,197,01/03/2007,5465183,2711222,26.07259941,-80.15270233,27.97550011,-82.53320313
MSP,FNT,Minneapolis,MN,Flint,MI,807,1118,25,491,01/07/2004,3106569,439880,44.88199997,-93.22180176,42.9654007,-83.74359894
JAN,DFW,Jackson,MS,Dallas,TX,3040,3210,30,408,01/06/1996,475127,8994450,32.31119919,-90.07589722,32.89680099,-97.03800201
BOS,EWR,Boston,MA,Newark,NJ,1454,3465,23,200,01/07/2003,8916374,18671320,42.36429977,-71.00520325,40.69250107,-74.16870117
MAF,DFW,Midland,TX,Dallas,TX,2574,4216,124,309,01/01/2001,115779,10709246,31.94249916,-102.2020035,32.89680099,-97.03800201
SYR,EWR,Syracuse,NY,Newark,NJ,0,0,18,194,01/12/2006,644844,18825633,43.11119843,-76.10630035,40.69250107,-74.16870117
SAT,DTW,San Antonio,TX,Detroit,MI,3814,4292,29,1215,01/07/2007,1984766,8913164,29.53370094,-98.46980286,42.21239853,-83.35340118
TLH,ATL,Tallahassee,FL,Atlanta,GA,4082,4550,91,223,01/11/2007,353548,5267527,30.39649963,-84.35030365,33.63669968,-84.42810059
FYV,DFW,Fayetteville,AR,Dallas,TX,3777,6868,202,270,01/09/1996,298677,8994450,36.00510025,-94.17009735,32.89680099,-97.03800201
FLL,FNT,Fort Lauderdale,FL,Flint,MI,229,468,4,1182,01/12/2003,5280671,439544,26.07259941,-80.15270233,42.9654007,-83.74359894
CLE,CAK,Cleveland,OH,Akron,OH,90,256,2,40,01/07/1995,2130938,680297,41.4117012,-81.84980011,40.91609955,-81.44219971
MCI,DTW,Kansas City,MO,Detroit,MI,58,78,1,630,01/12/1993,1694575,8711888,39.2976,-94.713898,42.21239853,-83.35340118
ANC,ORD,Anchorage,AK,Chicago,IL,0,0,7,2846,01/02/2003,339131,18572324,61.17440033,-149.9960022,41.97859955,-87.90480042
DFW,BOS,Dallas,TX,Boston,MA,23521,29928,232,1562,01/09/2004,11379964,8912958,32.89680099,-97.03800201,42.36429977,-71.00520325
ABY,ATL,Albany,GA,Atlanta,GA,2569,5320,112,146,01/06/2003,161185,4673146,31.53549957,-84.19450378,33.63669968,-84.42810059
DFW,TUL,Dallas,TX,Tulsa,OK,47,200,2,237,01/08/1990,8019250,762784,32.89680099,-97.03800201,36.19839859,-95.88809967
CLE,ORD,Cleveland,OH,Chicago,IL,103,240,2,316,01/01/2002,2140552,18490270,41.4117012,-81.84980011,41.97859955,-87.90480042
HOU,ATL,Houston,TX,Atlanta,GA,17009,21528,184,696,01/07/2004,5190444,4802300,29.64539909,-95.27890015,33.63669968,-84.42810059
TPA,DFW,Tampa,FL,Dallas,TX,14136,16830,92,929,01/03/2002,2483575,10953156,27.97550011,-82.53320313,32.89680099,-97.03800201
ORD,EWR,Chicago,IL,Newark,NJ,921,1296,12,719,01/07/1990,16395048,16868983,41.97859955,-87.90480042,40.69250107,-74.16870117
LAX,ORD,Los Angeles,CA,Chicago,IL,6162,6417,29,1745,01/06/2007,25385206,18903872,33.94250107,-118.4079971,41.97859955,-87.90480042
JFK,DTW,New York,NY,Detroit,MI,2277,3100,31,508,01/12/2007,37802334,8913164,40.63980103,-73.77890015,42.21239853,-83.35340118
DTW,ORD,Detroit,MI,Chicago,IL,84,138,2,235,01/02/2006,8969084,18797710,42.21239853,-83.35340118,41.97859955,-87.90480042
MKG,DTW,Muskegon,MI,Detroit,MI,169,510,15,161,01/09/1998,166849,8944948,43.16949844,-86.23819733,42.21239853,-83.35340118
MCI,ORD,Kansas City,MO,Chicago,IL,556,636,6,403,01/04/2009,2067585,19161134,39.2976,-94.713898,41.97859955,-87.90480042
BWI,DTW,Baltimore,MD,Detroit,MI,85,146,1,408,01/08/1991,2410834,8578382,39.17539978,-76.66829681,42.21239853,-83.35340118
MCO,ATL,Orlando,FL,Atlanta,GA,0,0,1,403,01/12/2008,2060968,5385586,28.42939949,-81.30899811,33.63669968,-84.42810059
LAS,DTW,Las Vegas,NV,Detroit,MI,10674,11828,62,1750,01/05/1996,1044023,8912962,36.08010101,-115.1520004,42.21239853,-83.35340118
DTW,EWR,Detroit,MI,Newark,NJ,2718,4625,37,487,01/10/2001,8958464,18490029,42.21239853,-83.35340118,40.69250107,-74.16870117
CLT,BOS,Charlotte,NC,Boston,MA,2843,4228,28,727,01/08/1991,1050648,8227986,35.2140007,-80.94309998,42.36429977,-71.00520325
CVG,BOS,Cincinnati,OH,Boston,MA,5022,7562,30,752,01/08/2000,2014665,8805222,39.04880142,-84.6678009,42.36429977,-71.00520325
HOU,DAL,Houston,TX,Dallas,TX,38721,54116,443,239,01/06/1993,4058868,8450926,29.64539909,-95.27890015,32.8470993,-96.85179901
LBB,DFW,Lubbock,TX,Dallas,TX,2294,4400,88,282,01/09/2001,253407,10709246,33.66360092,-101.822998,32.89680099,-97.03800201
LGA,EWR,New York,NY,Newark,NJ,43,139,1,17,01/10/1994,34144436,17072218,40.77719879,-73.87259674,40.69250107,-74.16870117
CVG,ATL,Cincinnati,OH,Atlanta,GA,2495,3262,43,373,01/11/2009,2171896,5475213,39.04880142,-84.6678009,33.63669968,-84.42810059
SJC,TOL,San Jose,CA,Toledo,OH,0,0,2,2042,01/09/2004,1724074,671681,37.36259842,-121.9290009,41.58679962,-83.80780029
STL,MDW,St. Louis,MO,Chicago,IL,5629,11919,87,251,01/04/2003,2743862,18572324,38.74869919,-90.37000275,41.7859993,-87.75240326
SEA,BZN,Seattle,WA,Bozeman,MT,1793,3105,45,543,01/05/2000,6104758,68369,47.44900131,-122.3089981,45.77750015,-111.1529999
CRW,ATL,Charleston,WV,Atlanta,GA,1807,5310,177,363,01/09/2001,307023,4432950,38.37310028,-81.59320068,33.63669968,-84.42810059
BOS,EWR,Boston,MA,Newark,NJ,302,775,5,200,01/11/2005,8917782,18798114,42.36429977,-71.00520325,40.69250107,-74.16870117
JAX,DTW,Jacksonville,FL,Detroit,MI,251,300,3,814,01/08/2006,1279132,8969084,30.49410057,-81.68789673,42.21239853,-83.35340118
BOS,DAY,Boston,MA,Dayton,OH,854,1000,20,709,01/07/2007,9007842,839563,42.36429977,-71.00520325,39.90240097,-84.2193985
JFK,MIA,New York,NY,Miami,FL,10794,14362,53,1090,01/08/1994,34144436,8746902,40.63980103,-73.77890015,25.79319954,-80.29060364
SFO,ORD,San Francisco,CA,Chicago,IL,2848,3066,22,1846,01/08/2009,8635706,19161134,37.61899948,-122.375,41.97859955,-87.90480042
CAE,ATL,Columbia,SC,Atlanta,GA,1661,1890,27,191,01/12/2002,663454,4555490,33.93880081,-81.11949921,33.63669968,-84.42810059
OMA,ORD,Omaha,NE,Chicago,IL,20,44,1,416,01/10/2006,820051,18797710,41.30319977,-95.89409637,41.97859955,-87.90480042
STL,OMA,St. Louis,MO,Omaha,NE,3314,4770,53,342,01/10/1994,2624554,709260,38.74869919,-90.37000275,41.30319977,-95.89409637
CLE,TPA,Cleveland,OH,Tampa,FL,1973,2356,19,927,01/08/2009,2091286,2747272,41.4117012,-81.84980011,27.97550011,-82.53320313
BTV,ORD,Burlington,VT,Chicago,IL,3193,3630,55,763,01/04/2009,208055,19161134,44.47190094,-73.15329742,41.97859955,-87.90480042
SLC,DTW,Salt Lake City,UT,Detroit,MI,4523,7424,58,1481,01/12/2004,1030597,8996622,40.78839874,-111.9779968,42.21239853,-83.35340118
MIA,EWR,Miami,FL,Newark,NJ,0,0,1,1086,01/11/2006,10933486,18825633,25.79319954,-80.29060364,40.69250107,-74.16870117
DFW,TUS,Dallas,TX,Tucson,AZ,17028,25701,185,813,01/03/1996,8994450,766853,32.89680099,-97.03800201,32.11610031,-110.9410019
PHL,ORD,Philadelphia,PA,Chicago,IL,6526,8352,60,678,01/04/2006,11761824,18797710,39.87189865,-75.2410965,41.97859955,-87.90480042
FNT,DTW,Flint,MI,Detroit,MI,231,330,3,56,01/07/2000,436885,8914942,42.9654007,-83.74359894,42.21239853,-83.35340118
MSP,DTW,Minneapolis,MN,Detroit,MI,6068,11232,75,528,01/11/1994,2690359,8761684,44.88199997,-93.22180176,42.21239853,-83.35340118
CVG,DFW,Cincinnati,OH,Dallas,TX,4068,4619,31,812,01/03/2000,2014665,10392376,39.04880142,-84.6678009,32.89680099,-97.03800201
STL,DFW,St. Louis,MO,Dallas,TX,10906,15680,160,551,01/10/1995,2634959,8787062,38.74869919,-90.37000275,32.89680099,-97.03800201
CLT,TPA,Charlotte,NC,Tampa,FL,378,391,4,508,01/06/1997,1194105,2225002,35.2140007,-80.94309998,27.97550011,-82.53320313
PHL,ORD,Philadelphia,PA,Chicago,IL,7609,13734,126,678,01/09/1996,11007158,17287860,39.87189865,-75.2410965,41.97859955,-87.90480042
BUF,EWR,Buffalo,NY,Newark,NJ,1970,2688,26,282,01/08/1990,1190154,16868983,42.94049835,-78.73220062,40.69250107,-74.16870117
MSP,TOL,Minneapolis,MN,Toledo,OH,0,0,1,526,01/01/2009,3269814,672220,44.88199997,-93.22180176,41.58679962,-83.80780029
PHL,EWR,Philadelphia,PA,Newark,NJ,63,164,1,81,01/06/1991,10917452,16874842,39.87189865,-75.2410965,40.69250107,-74.16870117
ELP,ATL,El Paso,TX,Atlanta,GA,3506,4402,31,1282,01/05/1996,674005,3652439,31.80719948,-106.3779984,33.63669968,-84.42810059
DTW,ATL,Detroit,MI,Atlanta,GA,8538,15120,60,594,01/06/1994,8761684,3444861,42.21239853,-83.35340118,33.63669968,-84.42810059
CAE,ABY,Columbia,SC,Albany,GA,0,0,15,244,01/02/2003,673209,161185,33.93880081,-81.11949921,31.53549957,-84.19450378
PHL,EWR,Philadelphia,PA,Newark,NJ,328,427,3,81,01/09/1993,10961072,17013259,39.87189865,-75.2410965,40.69250107,-74.16870117
EWR,BOS,Newark,NJ,Boston,MA,175,200,4,200,01/09/2008,18968501,9089410,40.69250107,-74.16870117,42.36429977,-71.00520325
SFO,ATL,San Francisco,CA,Atlanta,GA,5058,6154,31,2139,01/04/2003,8306286,4673146,37.61899948,-122.375,33.63669968,-84.42810059
LAS,RNO,Las Vegas,NV,Reno,NV,1746,4054,31,345,01/05/1997,1105005,309197,36.08010101,-115.1520004,39.49909973,-119.7679977
BNA,DTW,Nashville,TN,Detroit,MI,4601,7856,81,457,01/11/1992,1086033,8653794,36.12450027,-86.67819977,42.21239853,-83.35340118
DAL,AUS,Dallas,TX,Austin,TX,1016,1708,14,189,01/03/2003,11164066,1382693,32.8470993,-96.85179901,30.19449997,-97.66989899
BWI,ORD,Baltimore,MD,Chicago,IL,1598,3492,18,621,01/11/1991,2410834,16550288,39.17539978,-76.66829681,41.97859955,-87.90480042
SFO,ORD,San Francisco,CA,Chicago,IL,5929,6515,29,1846,01/10/2007,8404372,18903872,37.61899948,-122.375,41.97859955,-87.90480042
ABQ,DAL,Albuquerque,NM,Dallas,TX,7569,10614,87,580,01/12/2001,739531,10709246,35.04019928,-106.6090012,32.8470993,-96.85179901
DFW,ATL,Dallas,TX,Atlanta,GA,0,0,8,732,01/11/2001,10709246,4432950,32.89680099,-97.03800201,33.63669968,-84.42810059
IAH,MIA,Houston,TX,Miami,FL,276,357,3,964,01/12/1990,3789490,8149380,29.9843998,-95.34140015,25.79319954,-80.29060364
CLE,MDW,Cleveland,OH,Chicago,IL,2260,3456,27,307,01/05/1996,2130821,17287860,41.4117012,-81.84980011,41.7859993,-87.75240326
ATL,ORD,Atlanta,GA,Chicago,IL,133,214,2,606,01/10/1990,3087755,16395048,33.63669968,-84.42810059,41.97859955,-87.90480042
AMA,DAL,Amarillo,TX,Dallas,TX,10310,18358,134,324,01/04/1992,199754,8314270,35.2193985,-101.7060013,32.8470993,-96.85179901
STL,ORD,St. Louis,MO,Chicago,IL,2311,4440,37,258,01/02/2001,2719279,18385002,38.74869919,-90.37000275,41.97859955,-87.90480042
PBI,MDW,West Palm Beach,FL,Chicago,IL,17,173,1,1128,01/08/1996,4543436,17287860,26.68320084,-80.09559631,41.7859993,-87.75240326
RDU,ORD,Raleigh,NC,Chicago,IL,10281,18232,131,647,01/01/2008,1090408,19031272,35.87760162,-78.78749847,41.97859955,-87.90480042
CVG,ORD,Cincinnati,OH,Chicago,IL,2064,2842,29,264,01/06/1992,1888933,16720340,39.04880142,-84.6678009,41.97859955,-87.90480042
IAD,ATL,Washington,DC,Atlanta,GA,141,182,1,533,01/11/2009,10952482,5475213,38.94449997,-77.45580292,33.63669968,-84.42810059
IAH,BOS,Houston,TX,Boston,MA,4944,6656,64,1597,01/03/1998,4445918,8506878,29.9843998,-95.34140015,42.36429977,-71.00520325
GRR,DTW,Grand Rapids,MI,Detroit,MI,267,592,4,120,01/09/2002,755875,8972134,42.88079834,-85.52279663,42.21239853,-83.35340118
DFW,ELP,Dallas,TX,El Paso,TX,22874,26574,206,551,01/07/2004,11379964,702433,32.89680099,-97.03800201,31.80719948,-106.3779984
ANC,ORD,Anchorage,AK,Chicago,IL,5524,5828,31,2846,01/07/2006,359341,18797710,61.17440033,-149.9960022,41.97859955,-87.90480042
SHV,ATL,Shreveport,LA,Atlanta,GA,5482,7750,155,552,01/10/2008,389389,5385586,32.44660187,-93.82559967,33.63669968,-84.42810059
DFW,MOB,Dallas,TX,Mobile,AL,2237,4800,96,540,01/08/2008,12602170,409132,32.89680099,-97.03800201,30.69120026,-88.24279785
ATL,TOL,Atlanta,GA,Toledo,OH,1354,1700,34,549,01/02/2003,4673146,669292,33.63669968,-84.42810059,41.58679962,-83.80780029
LGA,ATL,New York,NY,Atlanta,GA,10416,15927,87,761,01/01/2002,37180170,4555490,40.77719879,-73.87259674,33.63669968,-84.42810059
MCO,ORD,Orlando,FL,Chicago,IL,20053,26691,93,1005,01/01/1992,1303224,16720340,28.42939949,-81.30899811,41.97859955,-87.90480042
DTW,EWR,Detroit,MI,Newark,NJ,8918,14528,80,487,01/06/2001,8958464,18490029,42.21239853,-83.35340118,40.69250107,-74.16870117
PIT,BOS,Pittsburgh,PA,Boston,MA,3037,4665,33,496,01/10/1995,2460192,8357434,40.49150085,-80.23290253,42.36429977,-71.00520325
ABQ,DFW,Albuquerque,NM,Dallas,TX,120,149,1,569,01/10/1998,692551,9475022,35.04019928,-106.6090012,32.89680099,-97.03800201
ORD,DTW,Chicago,IL,Detroit,MI,3855,4116,28,235,01/08/1991,16550288,8578382,41.97859955,-87.90480042,42.21239853,-83.35340118
ORD,DLH,Chicago,IL,Duluth,MN,91,122,1,397,01/10/1994,17018756,270909,41.97859955,-87.90480042,46.84209824,-92.19360352
TUL,EKO,Tulsa,OK,Elko,NV,121,124,1,1122,01/07/1998,831724,48011,36.19839859,-95.88809967,40.82490158,-115.7919998
DTW,MIA,Detroit,MI,Miami,FL,5705,8850,59,1145,01/11/1999,8962394,9521044,42.21239853,-83.35340118,25.79319954,-80.29060364
MCO,TPA,Orlando,FL,Tampa,FL,55,157,1,80,01/04/1996,1422502,2195269,28.42939949,-81.30899811,27.97550011,-82.53320313
SFO,EWR,San Francisco,CA,Newark,NJ,13178,14359,83,2565,01/10/2009,8635706,19069796,37.61899948,-122.375,40.69250107,-74.16870117
MSY,HOU,New Orleans,LA,Houston,TX,14758,19865,145,303,01/03/1992,1277629,3983375,29.99340057,-90.25800323,29.64539909,-95.27890015
SNA,DTW,Santa Ana,CA,Detroit,MI,5999,7081,59,1960,01/08/1995,11601863,8837982,33.67570114,-117.8679962,42.21239853,-83.35340118
ATL,DFW,Atlanta,GA,Dallas,TX,6828,9900,66,732,01/12/1998,3872031,9475022,33.63669968,-84.42810059,32.89680099,-97.03800201
OKC,ORD,Oklahoma City,OK,Chicago,IL,2545,3476,79,693,01/09/2003,1131487,18572324,35.39310074,-97.60070038,41.97859955,-87.90480042
PVD,DTW,Providence,RI,Detroit,MI,31,122,1,614,01/02/1991,1511102,8578382,41.73260117,-71.42040253,42.21239853,-83.35340118
FWA,BOS,Fort Wayne,IN,Boston,MA,0,0,1,739,01/01/2005,402638,8917782,40.97850037,-85.19509888,42.36429977,-71.00520325
GPT,ATL,Gulfport,MS,Atlanta,GA,90,198,3,352,01/06/1997,228466,3756986,30.40730095,-89.07009888,33.63669968,-84.42810059
IND,MIA,Indianapolis,IN,Miami,FL,170,175,1,1021,01/04/2002,1578239,10425204,39.7173,-86.294403,25.79319954,-80.29060364
MCI,OMA,Kansas City,MO,Omaha,NE,353,1764,21,152,01/12/2001,1865245,775380,39.2976,-94.713898,41.30319977,-95.89409637
BOS,BGR,Boston,MA,Bangor,ME,1356,2260,56,201,01/11/2005,8917782,147020,42.36429977,-71.00520325,44.80739975,-68.82810211
STL,DTW,St. Louis,MO,Detroit,MI,982,1400,14,440,01/09/1994,2624554,8761684,38.74869919,-90.37000275,42.21239853,-83.35340118
OKC,AUS,Oklahoma City,OK,Austin,TX,711,3100,62,358,01/08/2007,1191244,1594525,35.39310074,-97.60070038,30.19449997,-97.66989899
ATL,EWR,Atlanta,GA,Newark,NJ,6013,9024,64,745,01/09/1995,3548667,17130692,33.63669968,-84.42810059,40.69250107,-74.16870117
ORD,DAY,Chicago,IL,Dayton,OH,529,1320,11,240,01/05/2000,18235464,848093,41.97859955,-87.90480042,39.90240097,-84.2193985
CLT,ATL,Charlotte,NC,Atlanta,GA,26,148,1,227,01/05/2004,1471706,4802300,35.2140007,-80.94309998,33.63669968,-84.42810059
ATL,MLU,Atlanta,GA,Monroe,LA,2300,4360,92,448,01/02/2007,5267527,172588,33.63669968,-84.42810059,32.51089859,-92.03769684
MSP,ORD,Minneapolis,MN,Chicago,IL,0,0,1,334,01/10/2002,3053303,18490270,44.88199997,-93.22180176,41.97859955,-87.90480042
LAS,ORD,Las Vegas,NV,Chicago,IL,479,480,4,1515,01/03/2003,1572924,18572324,36.08010101,-115.1520004,41.97859955,-87.90480042
RDU,EWR,Raleigh,NC,Newark,NJ,6022,9360,90,416,01/02/2002,863488,18590085,35.87760162,-78.78749847,40.69250107,-74.16870117
BUF,EWR,Buffalo,NY,Newark,NJ,1737,2912,28,282,01/08/2000,1169159,18352743,42.94049835,-78.73220062,40.69250107,-74.16870117
ELP,IAH,El Paso,TX,Houston,TX,645,3380,26,667,01/01/1991,611299,3888584,31.80719948,-106.3779984,29.9843998,-95.34140015
BDL,ORD,Hartford,CT,Chicago,IL,80,138,1,783,01/10/2006,1182625,18797710,41.93889999,-72.68319702,41.97859955,-87.90480042
MDW,DET,Chicago,IL,Detroit,MI,4362,10366,71,248,01/06/2000,18235464,8914942,41.7859993,-87.75240326,42.40919876,-83.00990295
PHL,ORD,Philadelphia,PA,Chicago,IL,2545,4650,31,678,01/07/1995,11004980,17155070,39.87189865,-75.2410965,41.97859955,-87.90480042
PIT,TPA,Pittsburgh,PA,Tampa,FL,7006,8064,64,873,01/03/1998,2418452,2254405,40.49150085,-80.23290253,27.97550011,-82.53320313
BDL,TPA,Hartford,CT,Tampa,FL,1779,4440,30,1111,01/09/1992,1118409,2113572,41.93889999,-72.68319702,27.97550011,-82.53320313
LGA,MIA,New York,NY,Miami,FL,19406,26100,174,1097,01/07/1996,34380072,9086872,40.77719879,-73.87259674,25.79319954,-80.29060364
STL,DAY,St. Louis,MO,Dayton,OH,2254,2596,59,338,01/04/2006,2791682,841558,38.74869919,-90.37000275,39.90240097,-84.2193985
IAH,DFW,Houston,TX,Dallas,TX,487,749,7,224,01/08/1994,4127013,8613622,29.9843998,-95.34140015,32.89680099,-97.03800201
LAS,DFW,Las Vegas,NV,Dallas,TX,191,284,2,1055,01/12/2003,1572924,11164066,36.08010101,-115.1520004,32.89680099,-97.03800201
CLE,BOS,Cleveland,OH,Boston,MA,67,188,2,563,01/11/1992,2122597,8227058,41.4117012,-81.84980011,42.36429977,-71.00520325
CSG,ATL,Columbus,GA,Atlanta,GA,4772,10428,158,83,01/11/1997,278557,3756986,32.5163002,-84.93890381,33.63669968,-84.42810059
MSP,ATL,Minneapolis,MN,Atlanta,GA,3220,4380,30,906,01/09/1995,2725644,3548667,44.88199997,-93.22180176,33.63669968,-84.42810059
GBD,HYS,Great Bend,KS,Hays,KS,91,475,25,41,01/09/2007,27694,27238,38.3645,-98.7648,38.84220123,-99.27320099
RIC,ORD,Richmond,VA,Chicago,IL,199,552,4,642,01/12/2001,1111363,18385002,37.50519943,-77.31970215,41.97859955,-87.90480042
MEM,ATL,Memphis,TN,Atlanta,GA,0,0,1,332,01/01/2007,1290610,5267527,35.04240036,-89.97669983,33.63669968,-84.42810059
BOS,DFW,Boston,MA,Dallas,TX,4077,5822,41,1562,01/12/1990,8269386,8019250,42.36429977,-71.00520325,32.89680099,-97.03800201
SFO,ORD,San Francisco,CA,Chicago,IL,3133,5280,30,1846,01/05/2001,8359256,18385002,37.61899948,-122.375,41.97859955,-87.90480042
DCA,MIA,Washington,DC,Miami,FL,5181,11092,59,920,01/01/1993,8575206,8572430,38.8521,-77.037697,25.79319954,-80.29060364
TYS,DTW,Knoxville,TN,Detroit,MI,1752,2800,28,443,01/06/1996,593737,8912962,35.81100082,-83.9940033,42.21239853,-83.35340118
ALB,DTW,Albany,NY,Detroit,MI,6485,10912,88,488,01/11/2004,843928,8996622,42.74829865,-73.80169678,42.21239853,-83.35340118
BUF,ORD,Buffalo,NY,Chicago,IL,3423,6264,58,473,01/12/1992,1191586,16720340,42.94049835,-78.73220062,41.97859955,-87.90480042
STL,DFW,St. Louis,MO,Dallas,TX,10401,18963,147,551,01/08/2001,2719279,10709246,38.74869919,-90.37000275,32.89680099,-97.03800201
ELD,DFW,El Dorado,AR,Dallas,TX,332,893,47,246,01/09/2007,42933,12313304,33.22100067,-92.81330109,32.89680099,-97.03800201
MDT,ORD,Harrisburg,PA,Chicago,IL,5874,13914,98,594,01/06/1991,480880,16550288,40.19350052,-76.76339722,41.97859955,-87.90480042
IAD,EWR,Washington,DC,Newark,NJ,16730,30000,600,213,01/07/2004,10317048,18747431,38.94449997,-77.45580292,40.69250107,-74.16870117
BFM,ABY,Mobile,AL,Albany,GA,0,0,22,238,01/10/2007,405234,163646,30.62680054,-88.06809998,31.53549957,-84.19450378
ICT,DFW,Wichita,KS,Dallas,TX,5362,7998,62,328,01/12/2004,581206,11379964,37.64989853,-97.43309784,32.89680099,-97.03800201
MSP,BZN,Minneapolis,MN,Bozeman,MT,4020,4636,61,874,01/10/2009,3269814,90343,44.88199997,-93.22180176,45.77750015,-111.1529999
COS,ORD,Colorado Springs,CO,Chicago,IL,6938,8820,60,911,01/09/1999,521222,17655010,38.80580139,-104.7009964,41.97859955,-87.90480042
FLL,BOS,Fort Lauderdale,FL,Boston,MA,3005,3834,27,1237,01/02/2005,5443159,8917782,26.07259941,-80.15270233,42.36429977,-71.00520325
ORD,ATL,Chicago,IL,Atlanta,GA,11848,16892,123,606,01/05/2007,18903872,5267527,41.97859955,-87.90480042,33.63669968,-84.42810059
JFK,ALB,New York,NY,Albany,NY,451,782,17,145,01/03/1999,34863448,819105,40.63980103,-73.77890015,42.74829865,-73.80169678
AZO,ORD,Kalamazoo,MI,Chicago,IL,2104,5100,102,122,01/09/2009,326634,19161134,42.23490143,-85.55210114,41.97859955,-87.90480042
GSP,ORD,Greenville,SC,Chicago,IL,1868,3000,60,577,01/03/2005,590654,18724160,34.89569855,-82.21890259,41.97859955,-87.90480042
SFB,MIA,Orlando,FL,Miami,FL,122,149,1,214,01/07/2001,1708955,10240512,28.77759933,-81.23750305,25.79319954,-80.29060364
ATL,TOL,Atlanta,GA,Toledo,OH,2802,4600,92,549,01/10/1999,3988728,650257,33.63669968,-84.42810059,41.58679962,-83.80780029
SEA,DFW,Seattle,WA,Dallas,TX,21453,27105,195,1660,01/12/1997,5727624,9231044,47.44900131,-122.3089981,32.89680099,-97.03800201
FSD,ORD,Sioux Falls,SD,Chicago,IL,3399,6104,56,462,01/05/1996,171171,17287860,43.58200073,-96.74189758,41.97859955,-87.90480042
HNL,ITO,Honolulu,HI,Hilo,HI,25018,45087,339,216,01/01/2001,877189,150881,21.31870079,-157.9219971,19.72139931,-155.0480042
MCI,EKO,Kansas City,MO,Elko,NV,111,124,1,1119,01/06/1994,1714344,41668,39.2976,-94.713898,40.82490158,-115.7919998
TUL,ORD,Tulsa,OK,Chicago,IL,1230,3741,29,585,01/06/2002,874815,18490270,36.19839859,-95.88809967,41.97859955,-87.90480042
TPA,ATL,Tampa,FL,Atlanta,GA,480,1464,12,406,01/01/1992,2113572,3245141,27.97550011,-82.53320313,33.63669968,-84.42810059
MCO,DFW,Orlando,FL,Dallas,TX,182,183,1,984,01/03/1999,1535004,9703564,28.42939949,-81.30899811,32.89680099,-97.03800201
OMA,DTW,Omaha,NE,Detroit,MI,3939,4372,89,651,01/07/2005,810493,8988796,41.30319977,-95.89409637,42.21239853,-83.35340118
PHX,ORD,Phoenix,AZ,Chicago,IL,18575,24150,161,1440,01/12/2005,3884588,18724160,33.43429947,-112.012001,41.97859955,-87.90480042
ORD,DFW,Chicago,IL,Dallas,TX,3398,6104,27,802,01/02/2005,18724160,11632814,41.97859955,-87.90480042,32.89680099,-97.03800201
RIV,TUS,Riverside,CA,Tucson,AZ,0,240,2,386,01/12/2009,4143113,1020200,33.88069916,-117.2590027,32.11610031,-110.9410019
MDW,MIA,Chicago,IL,Miami,FL,96,173,1,1182,01/10/1995,17155070,8913928,41.7859993,-87.75240326,25.79319954,-80.29060364
PHL,ORD,Philadelphia,PA,Chicago,IL,7711,9000,60,678,01/11/2009,11936504,19161134,39.87189865,-75.2410965,41.97859955,-87.90480042
LEX,EWR,Lexington,KY,Newark,NJ,399,518,14,588,01/11/2003,426187,18671320,38.03649902,-84.60590363,40.69250107,-74.16870117
BDL,ORD,Hartford,CT,Chicago,IL,1536,2776,26,783,01/01/2004,1175284,18664180,41.93889999,-72.68319702,41.97859955,-87.90480042
FLL,TPA,Fort Lauderdale,FL,Tampa,FL,747,4292,29,197,01/02/1992,4225844,2113572,26.07259941,-80.15270233,27.97550011,-82.53320313
IAD,DFW,Washington,DC,Dallas,TX,51,108,1,1172,01/05/1998,9079986,9475022,38.94449997,-77.45580292,32.89680099,-97.03800201
DCA,DAY,Washington,DC,Dayton,OH,62,110,1,391,01/05/1995,8757652,861142,38.8521,-77.037697,39.90240097,-84.2193985
BOS,BGR,Boston,MA,Bangor,ME,51,160,2,201,01/12/1993,8260582,146980,42.36429977,-71.00520325,44.80739975,-68.82810211
LAS,DFW,Las Vegas,NV,Dallas,TX,2399,4110,30,1055,01/09/2005,1708846,11632814,36.08010101,-115.1520004,32.89680099,-97.03800201
EWR,BOS,Newark,NJ,Boston,MA,2741,4290,33,200,01/05/1993,17013259,8260582,40.69250107,-74.16870117,42.36429977,-71.00520325
MSY,DFW,New Orleans,LA,Dallas,TX,5325,8880,60,448,01/12/2008,1168547,12602170,29.99340057,-90.25800323,32.89680099,-97.03800201
PHL,AUS,Philadelphia,PA,Austin,TX,145,150,1,1430,01/04/2006,11761824,1528958,39.87189865,-75.2410965,30.19449997,-97.66989899
