S.no,Report_Month,Customer_Segment,Product_Type,Total_Revenue,Expected_Provision_Rate,Calculated_Provision_Amount,Net_Revenue,report_date_clean,,,
5196,2024-10,Enterprise,AddOn_D,17132.04,0.01,154.19,16977.85,01/10/2024,,,
5197,2024-09,SMB,Subscription_C,14508.84,0.03,449.77,14059.07,01/09/2024,,,
5198,2024-05,SMB,Subscription_C,9018,0.02,189.38,8828.62,01/05/2024,,,
5199,2024-04,Enterprise,Service_A,19142.31,0.01,153.14,18989.17,01/04/2024,,,
5200,2024-11,Enterprise,Service_A,15759.23,0.01,157.59,15601.64,01/11/2024,,,
5201,2024-09,Retail,Subscription_C,3009.85,0.05,156.51,2853.34,01/09/2024,,,
5202,2024-07,Enterprise,Subscription_C,21036.56,0.01,294.51,20742.05,01/07/2024,,,
5203,2024-03,Enterprise,Service_A,25839,0.01,206.71,25632.29,01/03/2024,,,
5204,2024-03,Retail,Product_B,1943.9,0.05,89.42,1854.48,01/03/2024,,,
5205,2024-08,Retail,Subscription_C,3863.36,0.05,204.76,3658.6,01/08/2024,,,
5206,2024-09,Retail,Product_B,2445.16,0.04,100.25,2344.91,01/09/2024,,,
5207,2024-03,Retail,Service_A,3433.76,0.05,178.56,3255.2,01/03/2024,,,
5208,2024-01,Retail,Subscription_C,1288.26,0.05,69.57,1218.69,01/01/2024,,,
5209,2024-03,SMB,Subscription_C,8752.31,0.03,297.58,8454.73,01/03/2024,,,
5210,2024-10,Enterprise,AddOn_D,29172.6,0.01,233.38,28939.22,01/10/2024,,,
5211,2024-06,Retail,AddOn_D,4540.45,0.05,217.94,4322.51,01/06/2024,,,
5212,2024-11,SMB,Subscription_C,7608.44,0.03,213.04,7395.4,01/11/2024,,,
5213,2024-06,Enterprise,Product_B,29298.42,0.01,175.79,29122.63,01/06/2024,,,
5214,2024-04,SMB,Product_B,12965.16,0.03,324.13,12641.03,01/04/2024,,,
5215,2024-01,Retail,Subscription_C,1202.57,0.05,55.32,1147.25,01/01/2024,,,
5216,2024-07,Retail,Service_A,4459.77,0.05,240.83,4218.94,01/07/2024,,,
5217,2024-10,Enterprise,AddOn_D,17910.36,0.01,250.75,17659.61,01/10/2024,,,
5218,2024-10,Retail,Service_A,3587.81,0.04,125.57,3462.24,01/10/2024,,,
5219,2024-07,Enterprise,AddOn_D,29502.74,0.01,383.54,29119.2,01/07/2024,,,
5220,2024-01,Enterprise,Product_B,25107.22,0.01,301.29,24805.93,01/01/2024,,,
5221,2024-01,SMB,Product_B,11544.65,0.03,288.62,11256.03,01/01/2024,,,
5222,2024-09,SMB,Subscription_C,12127.8,0.03,400.22,11727.58,01/09/2024,,,
5223,2024-03,Enterprise,Service_A,24392.92,0.01,292.72,24100.2,01/03/2024,,,
5224,2024-10,Enterprise,Service_A,18438.31,0.01,165.94,18272.37,01/10/2024,,,
5225,2024-01,SMB,Product_B,12062.6,0.03,398.07,11664.53,01/01/2024,,,
5226,2024-03,SMB,Service_A,10569.4,0.02,221.96,10347.44,01/03/2024,,,
5227,2024-01,SMB,Product_B,12844.92,0.02,282.59,12562.33,01/01/2024,,,
5228,2024-01,SMB,AddOn_D,12367.48,0.03,371.02,11996.46,01/01/2024,,,
5229,2024-11,Retail,AddOn_D,1659.68,0.04,61.41,1598.27,01/11/2024,,,
5230,2024-04,Enterprise,Service_A,19812.4,0.01,178.31,19634.09,01/04/2024,,,
5231,2024-11,Enterprise,Subscription_C,24274.36,0.01,291.29,23983.07,01/11/2024,,,
5232,2024-07,Retail,AddOn_D,3394.14,0.04,135.77,3258.37,01/07/2024,,,
5233,2024-03,Enterprise,Service_A,29697.1,0.01,386.06,29311.04,01/03/2024,,,
5234,2024-03,Retail,Product_B,1634.11,0.04,67,1567.11,01/03/2024,,,
5235,2024-09,Retail,Product_B,1496.4,0.05,68.83,1427.57,01/09/2024,,,
5236,2024-07,Retail,AddOn_D,3729.26,0.05,190.19,3539.07,01/07/2024,,,
5237,2024-03,Retail,Subscription_C,2420.03,0.04,101.64,2318.39,01/03/2024,,,
5238,2024-01,SMB,Service_A,11688.13,0.03,303.89,11384.24,01/01/2024,,,
5239,2024-03,Enterprise,Service_A,16674.64,0.01,233.44,16441.2,01/03/2024,,,
5240,2024-10,SMB,AddOn_D,12647.08,0.02,278.24,12368.84,01/10/2024,,,
5241,2024-07,SMB,AddOn_D,5314.93,0.03,132.87,5182.06,01/07/2024,,,
5242,2024-06,Retail,Product_B,3770.11,0.04,147.03,3623.08,01/06/2024,,,
5243,2024-03,SMB,Service_A,14647.22,0.02,351.53,14295.69,01/03/2024,,,
5244,2024-01,Retail,Product_B,3207.54,0.05,144.34,3063.2,01/01/2024,,,
5245,2024-09,SMB,AddOn_D,9559.73,0.02,210.31,9349.42,01/09/2024,,,
5246,2024-05,SMB,Service_A,8317.46,0.02,182.98,8134.48,01/05/2024,,,
5247,2024-08,Retail,Product_B,2242.89,0.04,80.74,2162.15,01/08/2024,,,
5248,2024-10,Enterprise,Product_B,21172.65,0.01,127.04,21045.61,01/10/2024,,,
5249,2024-06,Retail,AddOn_D,3993.74,0.04,151.76,3841.98,01/06/2024,,,
5250,2024-04,SMB,AddOn_D,7426.3,0.02,163.38,7262.92,01/04/2024,,,
5251,2024-11,SMB,Product_B,13372.81,0.03,401.18,12971.63,01/11/2024,,,
5252,2024-08,Enterprise,Product_B,29695.97,0.01,207.87,29488.1,01/08/2024,,,
5253,2024-09,Enterprise,Product_B,26906.36,0.01,188.34,26718.02,01/09/2024,,,
5254,2024-03,SMB,AddOn_D,5716.02,0.02,85.74,5630.28,01/03/2024,,,
5255,2024-03,Retail,Product_B,2254.9,0.04,87.94,2166.96,01/03/2024,,,
5256,2024-07,Enterprise,Service_A,27096.53,0.01,352.25,26744.28,01/07/2024,,,
5257,2024-03,SMB,Product_B,10309.06,0.02,226.8,10082.26,01/03/2024,,,
5258,2024-03,Retail,Product_B,2860,0.05,134.42,2725.58,01/03/2024,,,
5259,2024-04,SMB,AddOn_D,9332.03,0.02,223.97,9108.06,01/04/2024,,,
5260,2024-03,SMB,Product_B,13687.32,0.02,260.06,13427.26,01/03/2024,,,
5261,2024-01,SMB,Service_A,14534.58,0.03,377.9,14156.68,01/01/2024,,,
5262,2024-03,SMB,AddOn_D,8222.57,0.03,246.68,7975.89,01/03/2024,,,
5263,2024-09,Retail,Product_B,2234.75,0.04,89.39,2145.36,01/09/2024,,,
5264,2024-05,SMB,Service_A,12700.17,0.02,292.1,12408.07,01/05/2024,,,
5265,2024-08,Retail,AddOn_D,2251.51,0.04,85.56,2165.95,01/08/2024,,,
5266,2024-07,Retail,Subscription_C,3374.18,0.05,161.96,3212.22,01/07/2024,,,
5267,2024-01,SMB,Service_A,9068.17,0.02,199.5,8868.67,01/01/2024,,,
5268,2024-11,Retail,Product_B,1563.69,0.04,54.73,1508.96,01/11/2024,,,
5269,2024-07,SMB,Product_B,9286.23,0.03,232.16,9054.07,01/07/2024,,,
5270,2024-04,Retail,Service_A,2700.03,0.05,129.6,2570.43,01/04/2024,,,
5271,2024-04,Retail,Service_A,4084.84,0.04,171.56,3913.28,01/04/2024,,,
5272,2024-03,Retail,Subscription_C,1472.85,0.05,79.53,1393.32,01/03/2024,,,
5273,2024-01,Retail,Product_B,3691,0.04,162.4,3528.6,01/01/2024,,,
5274,2024-08,Retail,AddOn_D,1483.07,0.05,74.15,1408.92,01/08/2024,,,
5275,2024-10,SMB,Service_A,6140.58,0.03,171.94,5968.64,01/10/2024,,,
5276,2024-11,Enterprise,Service_A,21990.97,0.01,197.92,21793.05,01/11/2024,,,
5277,2024-04,Retail,AddOn_D,4020.1,0.04,176.88,3843.22,01/04/2024,,,
5278,2024-06,Enterprise,Product_B,23115.99,0.01,161.81,22954.18,01/06/2024,,,
5279,2024-03,SMB,AddOn_D,14635.67,0.02,248.81,14386.86,01/03/2024,,,
5280,2024-01,Retail,AddOn_D,2052.53,0.04,84.15,1968.38,01/01/2024,,,
5281,2024-10,Enterprise,Subscription_C,26812.24,0.01,160.87,26651.37,01/10/2024,,,
5282,2024-01,Retail,Subscription_C,2924.98,0.04,125.77,2799.21,01/01/2024,,,
5283,2024-10,Enterprise,Service_A,25320.68,0.01,227.89,25092.79,01/10/2024,,,
5284,2024-06,Retail,Subscription_C,1675.64,0.04,72.05,1603.59,01/06/2024,,,
5285,2024-10,Retail,AddOn_D,4070.35,0.05,207.59,3862.76,01/10/2024,,,
5286,2024-05,Retail,AddOn_D,2193.62,0.05,111.87,2081.75,01/05/2024,,,
5287,2024-01,Enterprise,Service_A,16920.86,0.01,152.29,16768.57,01/01/2024,,,
5288,2024-04,Enterprise,Subscription_C,29454.05,0.01,206.18,29247.87,01/04/2024,,,
5289,2024-07,Retail,AddOn_D,4523.69,0.04,180.95,4342.74,01/07/2024,,,
5290,2024-10,SMB,AddOn_D,14167.2,0.03,368.35,13798.85,01/10/2024,,,
5291,2024-10,Retail,Subscription_C,4146.36,0.05,207.32,3939.04,01/10/2024,,,
5292,2024-05,Enterprise,Subscription_C,29273.89,0.01,234.19,29039.7,01/05/2024,,,
5293,2024-08,Enterprise,AddOn_D,17196.1,0.01,171.96,17024.14,01/08/2024,,,
5294,2024-03,SMB,Subscription_C,5205.83,0.03,177,5028.83,01/03/2024,,,
5295,2024-03,SMB,AddOn_D,13660.85,0.02,232.23,13428.62,01/03/2024,,,
5296,2024-07,Enterprise,Service_A,27823.19,0.01,306.06,27517.13,01/07/2024,,,
5297,2024-05,Enterprise,Subscription_C,18375.35,0.01,110.25,18265.1,01/05/2024,,,
5298,2024-01,SMB,AddOn_D,6801.24,0.02,136.02,6665.22,01/01/2024,,,
5299,2024-04,Retail,Service_A,1507.52,0.04,63.32,1444.2,01/04/2024,,,
5300,2024-09,Enterprise,AddOn_D,16672.73,0.01,233.42,16439.31,01/09/2024,,,
5301,2024-06,Retail,Product_B,1393.54,0.04,48.77,1344.77,01/06/2024,,,
5302,2024-11,Retail,Service_A,4817.72,0.05,250.52,4567.2,01/11/2024,,,
5303,2024-09,Enterprise,AddOn_D,28203.78,0.01,169.22,28034.56,01/09/2024,,,
5304,2024-07,SMB,Service_A,12453.28,0.02,211.71,12241.57,01/07/2024,,,
5305,2024-10,Retail,AddOn_D,2932.87,0.04,120.25,2812.62,01/10/2024,,,
5306,2024-03,Enterprise,Subscription_C,17256.77,0.01,172.57,17084.2,01/03/2024,,,
5307,2024-08,Retail,Service_A,4941.21,0.05,247.06,4694.15,01/08/2024,,,
5308,2024-01,Enterprise,Subscription_C,16616.05,0.01,166.16,16449.89,01/01/2024,,,
5309,2024-09,Retail,Subscription_C,4391.55,0.05,228.36,4163.19,01/09/2024,,,
5310,2024-06,SMB,Service_A,5990.78,0.02,131.8,5858.98,01/06/2024,,,
5311,2024-04,SMB,Subscription_C,5128.67,0.03,148.73,4979.94,01/04/2024,,,
5312,2024-06,Retail,Product_B,1524.13,0.04,65.54,1458.59,01/06/2024,,,
5313,2024-01,Retail,AddOn_D,2292.99,0.04,82.55,2210.44,01/01/2024,,,
5314,2024-09,Retail,Subscription_C,3965.43,0.05,186.38,3779.05,01/09/2024,,,
5315,2024-03,SMB,Product_B,9783.57,0.03,283.72,9499.85,01/03/2024,,,
5316,2024-07,Enterprise,Product_B,29015.27,0.01,319.17,28696.1,01/07/2024,,,
5317,2024-11,Enterprise,Product_B,21368.36,0.01,256.42,21111.94,01/11/2024,,,
5318,2024-09,Retail,AddOn_D,3684.17,0.05,184.21,3499.96,01/09/2024,,,
5319,2024-08,SMB,Product_B,8598.79,0.02,171.98,8426.81,01/08/2024,,,
5320,2024-04,Enterprise,Subscription_C,22904.23,0.02,343.56,22560.67,01/04/2024,,,
5321,2024-01,Enterprise,Subscription_C,26218.41,0.01,209.75,26008.66,01/01/2024,,,
5322,2024-07,Enterprise,Subscription_C,16159.73,0.01,96.96,16062.77,01/07/2024,,,
5323,2024-07,SMB,Service_A,5137.76,0.02,92.48,5045.28,01/07/2024,,,
5324,2024-01,SMB,AddOn_D,7131.29,0.03,242.46,6888.83,01/01/2024,,,
5325,2024-01,SMB,AddOn_D,8184.36,0.02,130.95,8053.41,01/01/2024,,,
5326,2024-05,Enterprise,Subscription_C,24414.1,0.01,341.8,24072.3,01/05/2024,,,
5327,2024-01,Retail,Subscription_C,3320.51,0.05,172.67,3147.84,01/01/2024,,,
5328,2024-08,Enterprise,AddOn_D,19897.01,0.01,238.76,19658.25,01/08/2024,,,
5329,2024-07,SMB,Product_B,13490.26,0.03,458.67,13031.59,01/07/2024,,,
5330,2024-01,Retail,AddOn_D,3477.9,0.04,121.73,3356.17,01/01/2024,,,
5331,2024-05,Retail,Subscription_C,2576.41,0.04,97.9,2478.51,01/05/2024,,,
5332,2024-08,Enterprise,AddOn_D,26958.03,0.01,269.58,26688.45,01/08/2024,,,
5333,2024-04,Enterprise,AddOn_D,24423.52,0.01,219.81,24203.71,01/04/2024,,,
5334,2024-03,Enterprise,Service_A,26555.98,0.01,345.23,26210.75,01/03/2024,,,
5335,2024-09,Retail,AddOn_D,3373.32,0.04,121.44,3251.88,01/09/2024,,,
5336,2024-01,SMB,Product_B,11059.89,0.03,287.56,10772.33,01/01/2024,,,
5337,2024-10,Retail,Service_A,4743.91,0.04,194.5,4549.41,01/10/2024,,,
5338,2024-09,SMB,Product_B,6020.05,0.03,156.52,5863.53,01/09/2024,,,
5339,2024-08,Retail,Service_A,2314.72,0.04,83.33,2231.39,01/08/2024,,,
5340,2024-01,Retail,Service_A,4310.58,0.05,224.15,4086.43,01/01/2024,,,
5341,2024-11,SMB,Service_A,5972.88,0.03,161.27,5811.61,01/11/2024,,,
5342,2024-03,Retail,Product_B,2878.77,0.05,129.54,2749.23,01/03/2024,,,
5343,2024-07,Retail,AddOn_D,2926.05,0.04,122.89,2803.16,01/07/2024,,,
5344,2024-03,Enterprise,Service_A,19965.86,0.02,299.49,19666.37,01/03/2024,,,
5345,2024-11,Retail,Subscription_C,1676.59,0.06,92.21,1584.38,01/11/2024,,,
5346,2024-09,Retail,AddOn_D,2771.06,0.04,113.61,2657.45,01/09/2024,,,
5347,2024-03,SMB,Product_B,6131.63,0.02,141.03,5990.6,01/03/2024,,,
5348,2024-09,SMB,Subscription_C,7479.02,0.03,231.85,7247.17,01/09/2024,,,
5349,2024-09,Retail,AddOn_D,2011.6,0.05,102.59,1909.01,01/09/2024,,,
5350,2024-11,Enterprise,AddOn_D,26935.19,0.01,377.09,26558.1,01/11/2024,,,
5351,2024-01,Retail,Service_A,3738.84,0.05,175.73,3563.11,01/01/2024,,,
5352,2024-01,SMB,AddOn_D,9977.77,0.02,209.53,9768.24,01/01/2024,,,
5353,2024-01,Enterprise,Service_A,23518.38,0.01,141.11,23377.27,01/01/2024,,,
5354,2024-07,Retail,Subscription_C,3091.53,0.05,163.85,2927.68,01/07/2024,,,
5355,2024-01,Enterprise,Product_B,20554.85,0.01,102.77,20452.08,01/01/2024,,,
5356,2024-01,Retail,Service_A,4758.45,0.04,185.58,4572.87,01/01/2024,,,
5357,2024-09,Retail,Product_B,3426.92,0.04,137.08,3289.84,01/09/2024,,,
5358,2024-05,Enterprise,Subscription_C,15288.21,0.01,122.31,15165.9,01/05/2024,,,
5359,2024-04,SMB,Subscription_C,9786.39,0.02,166.37,9620.02,01/04/2024,,,
5360,2024-04,Retail,AddOn_D,1407.26,0.04,56.29,1350.97,01/04/2024,,,
5361,2024-06,Enterprise,AddOn_D,18471.11,0.02,277.07,18194.04,01/06/2024,,,
5362,2024-06,Enterprise,AddOn_D,28701.04,0.01,258.31,28442.73,01/06/2024,,,
5363,2024-07,Enterprise,Subscription_C,16094.67,0.01,225.33,15869.34,01/07/2024,,,
5364,2024-03,Retail,AddOn_D,4502.05,0.05,238.61,4263.44,01/03/2024,,,
5365,2024-09,Enterprise,Subscription_C,20110.35,0.01,281.54,19828.81,01/09/2024,,,
5366,2024-04,SMB,Service_A,14821.97,0.02,266.8,14555.17,01/04/2024,,,
5367,2024-10,SMB,AddOn_D,12144.22,0.02,194.31,11949.91,01/10/2024,,,
5368,2024-03,SMB,Product_B,12480.49,0.02,274.57,12205.92,01/03/2024,,,
5369,2024-08,Retail,Subscription_C,1153.67,0.05,56.53,1097.14,01/08/2024,,,
5370,2024-06,Retail,Subscription_C,3308.47,0.05,158.81,3149.66,01/06/2024,,,
5371,2024-03,Enterprise,Subscription_C,15107.27,0.01,105.75,15001.52,01/03/2024,,,
5372,2024-05,SMB,Subscription_C,13603.85,0.03,435.32,13168.53,01/05/2024,,,
5373,2024-07,Retail,AddOn_D,2539.41,0.05,121.89,2417.52,01/07/2024,,,
5374,2024-11,SMB,Subscription_C,5047.4,0.03,131.23,4916.17,01/11/2024,,,
5375,2024-08,Retail,AddOn_D,4462.92,0.05,227.61,4235.31,01/08/2024,,,
5376,2024-10,Enterprise,AddOn_D,16478.15,0.01,230.69,16247.46,01/10/2024,,,
5377,2024-08,SMB,Product_B,8653.31,0.03,294.21,8359.1,01/08/2024,,,
5378,2024-01,SMB,Service_A,12686.2,0.03,418.64,12267.56,01/01/2024,,,
5379,2024-08,SMB,Product_B,10658.85,0.02,245.15,10413.7,01/08/2024,,,
5380,2024-10,Enterprise,Service_A,27815.79,0.01,305.97,27509.82,01/10/2024,,,
5381,2024-03,Retail,Service_A,3259.29,0.04,117.33,3141.96,01/03/2024,,,
5382,2024-09,Enterprise,Product_B,20710.34,0.01,165.68,20544.66,01/09/2024,,,
5383,2024-06,Enterprise,Service_A,17368.2,0.01,191.05,17177.15,01/06/2024,,,
5384,2024-09,SMB,Service_A,5220.63,0.03,151.4,5069.23,01/09/2024,,,
5385,2024-04,Retail,Product_B,1574.72,0.04,55.12,1519.6,01/04/2024,,,
5386,2024-03,Retail,Service_A,2206.98,0.05,116.97,2090.01,01/03/2024,,,
5387,2024-10,Enterprise,Service_A,28920.32,0.01,375.96,28544.36,01/10/2024,,,
5388,2024-04,SMB,Product_B,13154.09,0.03,355.16,12798.93,01/04/2024,,,
5389,2024-08,Retail,AddOn_D,1328.11,0.04,50.47,1277.64,01/08/2024,,,
5390,2024-01,SMB,Product_B,14917.11,0.03,507.18,14409.93,01/01/2024,,,
5391,2024-10,Retail,Service_A,1551.44,0.05,77.57,1473.87,01/10/2024,,,
5392,2024-08,Retail,Product_B,4591.27,0.04,192.83,4398.44,01/08/2024,,,
5393,2024-08,Retail,Product_B,1833.13,0.04,76.99,1756.14,01/08/2024,,,
5394,2024-07,Retail,Product_B,4119.11,0.04,181.24,3937.87,01/07/2024,,,
5395,2024-01,Retail,AddOn_D,2744.04,0.05,134.46,2609.58,01/01/2024,,,
5396,2024-09,Enterprise,AddOn_D,25784.86,0.01,283.63,25501.23,01/09/2024,,,
5397,2024-05,SMB,Service_A,12782.82,0.02,268.44,12514.38,01/05/2024,,,
5398,2024-03,SMB,Product_B,11534.37,0.03,288.36,11246.01,01/03/2024,,,
5399,2024-09,Enterprise,Product_B,20056.32,0.01,160.45,19895.87,01/09/2024,,,
5400,2024-08,Retail,Service_A,4047.71,0.04,165.96,3881.75,01/08/2024,,,
5401,2024-06,Retail,AddOn_D,4287.61,0.04,171.5,4116.11,01/06/2024,,,
5402,2024-10,SMB,Product_B,11675.83,0.02,210.16,11465.67,01/10/2024,,,
5403,2024-08,Retail,Service_A,2370.85,0.04,87.72,2283.13,01/08/2024,,,
5404,2024-01,Retail,AddOn_D,4158.19,0.05,191.28,3966.91,01/01/2024,,,
5405,2024-04,SMB,Product_B,5928.02,0.03,165.98,5762.04,01/04/2024,,,
5406,2024-05,Enterprise,Service_A,19177.12,0.01,115.06,19062.06,01/05/2024,,,
5407,2024-10,Enterprise,Subscription_C,26182.08,0.01,340.37,25841.71,01/10/2024,,,
5408,2024-08,Retail,Subscription_C,2255.05,0.05,103.73,2151.32,01/08/2024,,,
5409,2024-03,SMB,Product_B,12005.01,0.02,288.12,11716.89,01/03/2024,,,
5410,2024-07,Enterprise,Service_A,16696.25,0.01,183.66,16512.59,01/07/2024,,,
5411,2024-07,SMB,Service_A,12948.4,0.03,388.45,12559.95,01/07/2024,,,
5412,2024-09,Retail,AddOn_D,2132.22,0.04,87.42,2044.8,01/09/2024,,,
5413,2024-01,Retail,Service_A,1862.22,0.05,91.25,1770.97,01/01/2024,,,
5414,2024-09,SMB,Product_B,10070.74,0.03,281.98,9788.76,01/09/2024,,,
5415,2024-03,Retail,Product_B,3092.56,0.06,170.09,2922.47,01/03/2024,,,
5416,2024-01,Retail,Service_A,3227.66,0.04,142.02,3085.64,01/01/2024,,,
5417,2024-05,SMB,Service_A,10609.94,0.03,339.52,10270.42,01/05/2024,,,
5418,2024-03,SMB,AddOn_D,6456.04,0.02,129.12,6326.92,01/03/2024,,,
5419,2024-01,Enterprise,Subscription_C,23097.61,0.01,161.68,22935.93,01/01/2024,,,
5420,2024-08,SMB,AddOn_D,11520.29,0.03,368.65,11151.64,01/08/2024,,,
5421,2024-06,SMB,Service_A,14642.03,0.03,395.33,14246.7,01/06/2024,,,
5422,2024-08,Enterprise,Product_B,28271.31,0.01,197.9,28073.41,01/08/2024,,,
5423,2024-03,Enterprise,Product_B,28971.5,0.01,318.69,28652.81,01/03/2024,,,
5424,2024-11,Retail,Product_B,3675.57,0.04,139.67,3535.9,01/11/2024,,,
5425,2024-11,Retail,AddOn_D,3869.81,0.05,174.14,3695.67,01/11/2024,,,
5426,2024-05,SMB,Service_A,12091.82,0.03,386.94,11704.88,01/05/2024,,,
5427,2024-01,SMB,AddOn_D,9002.29,0.02,162.04,8840.25,01/01/2024,,,
5428,2024-03,Retail,AddOn_D,2719.55,0.04,116.94,2602.61,01/03/2024,,,
5429,2024-11,Retail,Service_A,1478.39,0.04,60.61,1417.78,01/11/2024,,,
5430,2024-11,SMB,Product_B,13521.6,0.02,229.87,13291.73,01/11/2024,,,
5431,2024-08,Retail,Subscription_C,4939.05,0.05,246.95,4692.1,01/08/2024,,,
5432,2024-11,Retail,Product_B,4520.69,0.05,230.56,4290.13,01/11/2024,,,
5433,2024-09,Enterprise,AddOn_D,23962.01,0.01,263.58,23698.43,01/09/2024,,,
5434,2024-03,SMB,Product_B,9480.99,0.03,246.51,9234.48,01/03/2024,,,
5435,2024-11,Retail,Service_A,4420.06,0.05,198.9,4221.16,01/11/2024,,,
5436,2024-05,SMB,Subscription_C,6342.92,0.03,158.57,6184.35,01/05/2024,,,
5437,2024-09,SMB,AddOn_D,14308.01,0.02,228.93,14079.08,01/09/2024,,,
5438,2024-04,SMB,Subscription_C,13937.57,0.03,362.38,13575.19,01/04/2024,,,
5439,2024-11,Retail,Product_B,4832.72,0.05,217.47,4615.25,01/11/2024,,,
5440,2024-07,SMB,Product_B,7805.17,0.03,218.54,7586.63,01/07/2024,,,
5441,2024-03,Retail,Product_B,4589.37,0.05,206.52,4382.85,01/03/2024,,,
5442,2024-07,Enterprise,Service_A,19874.57,0.01,218.62,19655.95,01/07/2024,,,
5443,2024-06,Enterprise,Subscription_C,24017.6,0.02,360.26,23657.34,01/06/2024,,,
5444,2024-11,SMB,Subscription_C,5371.63,0.02,102.06,5269.57,01/11/2024,,,
5445,2024-10,Retail,Subscription_C,1730.34,0.05,88.25,1642.09,01/10/2024,,,
5446,2024-01,Retail,Service_A,4993.37,0.05,249.67,4743.7,01/01/2024,,,
5447,2024-07,Retail,Service_A,4573,0.06,251.52,4321.48,01/07/2024,,,
5448,2024-04,Enterprise,Subscription_C,22496.99,0.01,202.47,22294.52,01/04/2024,,,
5449,2024-04,Retail,AddOn_D,2478.28,0.04,109.04,2369.24,01/04/2024,,,
5450,2024-01,SMB,AddOn_D,7861.64,0.03,251.57,7610.07,01/01/2024,,,
5451,2024-01,SMB,Product_B,10407.12,0.02,249.77,10157.35,01/01/2024,,,
5452,2024-05,Retail,Service_A,1710.59,0.05,87.24,1623.35,01/05/2024,,,
5453,2024-08,Enterprise,AddOn_D,24676.52,0.02,370.15,24306.37,01/08/2024,,,
5454,2024-01,SMB,AddOn_D,5544.71,0.03,160.8,5383.91,01/01/2024,,,
5455,2024-10,SMB,AddOn_D,13556.64,0.03,433.81,13122.83,01/10/2024,,,
5456,2024-06,Retail,Service_A,1005.61,0.04,37.21,968.4,01/06/2024,,,
5457,2024-05,Enterprise,Subscription_C,26344.54,0.01,289.79,26054.75,01/05/2024,,,
5458,2024-04,Retail,Product_B,2005.36,0.06,110.29,1895.07,01/04/2024,,,
5459,2024-03,SMB,Product_B,5640.19,0.02,112.8,5527.39,01/03/2024,,,
5460,2024-10,SMB,Service_A,5928.57,0.03,148.21,5780.36,01/10/2024,,,
5461,2024-01,SMB,Product_B,5946.48,0.03,202.18,5744.3,01/01/2024,,,
5462,2024-09,Enterprise,Service_A,19198.89,0.01,115.19,19083.7,01/09/2024,,,
5463,2024-09,Retail,AddOn_D,2325.71,0.04,93.03,2232.68,01/09/2024,,,
5464,2024-04,SMB,Service_A,6887.43,0.03,172.19,6715.24,01/04/2024,,,
5465,2024-09,Enterprise,Product_B,23426.51,0.02,351.4,23075.11,01/09/2024,,,
5466,2024-04,SMB,Subscription_C,12849.99,0.03,346.95,12503.04,01/04/2024,,,
5467,2024-04,Retail,Product_B,1038.2,0.05,50.87,987.33,01/04/2024,,,
5468,2024-06,SMB,Service_A,11991.25,0.03,323.76,11667.49,01/06/2024,,,
5469,2024-09,Retail,Subscription_C,4109.39,0.04,164.38,3945.01,01/09/2024,,,
5470,2024-10,Retail,AddOn_D,3591.66,0.05,179.58,3412.08,01/10/2024,,,
5471,2024-08,SMB,Service_A,11680.18,0.03,373.77,11306.41,01/08/2024,,,
5472,2024-01,SMB,Product_B,10427.84,0.03,333.69,10094.15,01/01/2024,,,
5473,2024-05,SMB,Product_B,11230.13,0.02,202.14,11027.99,01/05/2024,,,
5474,2024-10,Enterprise,AddOn_D,25565.22,0.01,306.78,25258.44,01/10/2024,,,
5475,2024-11,SMB,Service_A,13147.54,0.02,236.66,12910.88,01/11/2024,,,
5476,2024-03,Enterprise,Product_B,28422.03,0.01,198.95,28223.08,01/03/2024,,,
5477,2024-04,SMB,Subscription_C,7253.13,0.03,181.33,7071.8,01/04/2024,,,
5478,2024-01,Enterprise,Service_A,16742.09,0.01,200.91,16541.18,01/01/2024,,,
5479,2024-05,Retail,Service_A,3902.65,0.05,210.74,3691.91,01/05/2024,,,
5480,2024-07,Enterprise,Subscription_C,18487.22,0.01,258.82,18228.4,01/07/2024,,,
5481,2024-06,Enterprise,Subscription_C,22092.85,0.01,198.84,21894.01,01/06/2024,,,
5482,2024-09,Retail,Product_B,4299.32,0.04,171.97,4127.35,01/09/2024,,,
5483,2024-03,Enterprise,AddOn_D,21987.58,0.01,285.84,21701.74,01/03/2024,,,
5484,2024-01,SMB,Service_A,6731.38,0.02,114.43,6616.95,01/01/2024,,,
5485,2024-01,Retail,AddOn_D,2615.59,0.04,112.47,2503.12,01/01/2024,,,
5486,2024-09,SMB,AddOn_D,13100.2,0.02,288.2,12812,01/09/2024,,,
5487,2024-07,Enterprise,AddOn_D,23961.79,0.01,311.5,23650.29,01/07/2024,,,
5488,2024-04,Retail,Subscription_C,2155.81,0.05,101.32,2054.49,01/04/2024,,,
5489,2024-07,SMB,Service_A,11089.24,0.02,166.34,10922.9,01/07/2024,,,
5490,2024-11,SMB,Product_B,14340.5,0.02,258.13,14082.37,01/11/2024,,,
5491,2024-06,SMB,Product_B,12533.03,0.03,413.59,12119.44,01/06/2024,,,
5492,2024-09,Retail,Product_B,3141.62,0.05,144.51,2997.11,01/09/2024,,,
5493,2024-04,SMB,AddOn_D,12568.67,0.03,402.2,12166.47,01/04/2024,,,
5494,2024-01,Retail,Product_B,1853.06,0.05,94.51,1758.55,01/01/2024,,,
